# schema_version=2 start_utc=2026-05-31T02:16:02Z
t,ax,ay,az,gx,gy,gz,lat,lon,spd,hdg,qw,qx,qy,qz,sat,hdop,marker
0.0,-0.09016553240569783,-4.952120311309987,9.81967438501484,-0.020750741033162445,0.007506478462649558,-0.4034068197626356,39.29627334156939,-83.55622314471009,13.386901831118559,45.85864300312498,0.9999563052766138,-0.008524810696054515,9.293208082854408e-05,-0.0038349059660413814,15,0.8980988695070886,
0.02,-5.419118880639471,-4.380629196684301,9.841319333820152,0.0024046397262273687,-0.008434941479544343,-0.35041727857017246,39.29627334156939,-83.55622314471009,13.278233148659048,45.85864300312498,0.9998220771316974,-0.0165676735378245,0.005309405934080839,-0.007289477500428149,15,0.8980988695070886,
0.04,6.9917016841484845,-4.740684068239187,9.661165801942735,0.005809359197804843,0.007024317686163504,-0.36233193938151675,39.29627334156939,-83.55622314471009,13.41930122143997,45.217154966471455,0.9996717109908162,-0.022941342818554027,-0.002712979116747035,-0.011081731754903472,15,0.8980988695070886,
0.06,0.6692390573779305,-5.073212080145461,9.73879418481382,-0.007778033312040339,-0.003820769302332928,-0.3985041510702526,39.29627334156939,-83.55622314471009,13.431288152699164,45.217154966471455,0.9994057001367583,-0.03093801354880046,-0.002017950205568478,-0.015066974771924405,15,0.8980988695070886,
0.08,-11.625568993421401,-4.793155079868134,9.7110460431136,0.010290555715599854,-0.0006105867579226323,-0.3619487679352558,39.29627334156939,-83.55622314471009,13.195701762724447,44.564687545139776,0.9991379986849569,-0.03662993034511086,0.0065266893586942995,-0.018409511474953885,15,0.8980988695070886,
0.1,2.3261277438236463,-4.834829241738402,9.850074990934898,0.01158652962959303,-0.000752460258672159,-0.35581981939127927,39.29630696600171,-83.55621655068506,13.242335156979388,43.90113740120922,0.9988814625769346,-0.041569072995920844,0.0038034318102984255,-0.02221192915728468,16,0.869452624588295,
0.12,5.425793538671554,-5.461032011034881,9.854802865472871,0.014187938844228571,0.0018502169824133148,-0.4078068046725939,39.29630696600171,-83.55621655068506,13.35046508898883,43.90113740120922,0.9985214264272891,-0.047049537030895795,-0.005247747812057339,-0.026716346563315094,16,0.869452624588295,
0.14,-1.918484206039118,-5.031566069541639,9.829924326755153,-0.013339097539361244,0.0068351922750873595,-0.39194097004521955,39.29630696600171,-83.55621655068506,13.307690772435754,43.22640670713727,0.9981602043799291,-0.0524361451224725,-0.0019472518621926943,-0.030378697916439847,16,0.869452624588295,
0.16,0.8306580464774623,-5.214733579493373,9.964795788921887,-0.005131417607936375,-0.008914462038451908,-0.3800204119380162,39.29630696600171,-83.55621655068506,13.32344354432777,42.54040395726323,0.9978193526018991,-0.05619803984932884,-0.004065339508573565,-0.03437721490900671,16,0.869452624588295,
0.18,-3.747016318834889,-5.8160662522048865,10.0113424391229,-0.012559492060532683,-0.005147383180025375,-0.4172887461747197,39.29630696600171,-83.55621655068506,13.247408472279075,42.54040395726323,0.9974614708397647,-0.06000272315824441,0.00023169059872396851,-0.038343626892025216,16,0.869452624588295,
0.2,6.2869187440885765,-5.534352531263031,9.559205482253033,0.01810342848266233,-0.0032450445489220618,-0.44772707246813065,39.296287321110256,-83.5562133679565,13.375957474533529,41.84304482163825,0.9970251993273238,-0.0636225710723959,-0.006182714849053734,-0.04306616297678786,16,0.8746348490515883,
0.22,-0.972886249636983,-5.365012042724361,9.953839884655395,0.0021537982170661044,0.00938453535516506,-0.38708169813004506,39.296287321110256,-83.5562133679565,13.356895039483687,41.13425304194807,0.9967089992291679,-0.0660704127716434,-0.002893990673028155,-0.04687745971956816,16,0.8746348490515883,
0.24,-3.3792584089805535,-5.853711041695556,9.972295416169825,-0.009456997404595628,-0.005420066237922999,-0.44342892853547095,39.296287321110256,-83.5562133679565,13.288156411850393,41.13425304194807,0.9963543132812147,-0.06844207691014131,0.002972017145977704,-0.05084222288835499,16,0.8746348490515883,
0.26,3.634259304976487,-5.641881682649356,9.950844399611043,0.02572568066761605,-0.018662138268839088,-0.4424746515894767,39.296287321110256,-83.5562133679565,13.360416336554156,40.41396136834293,0.995883966464663,-0.07173960454088774,0.0019900549680959933,-0.05535877672195073,16,0.8746348490515883,
0.28,-3.242403020401995,-5.50023775062692,9.702287431380203,-0.007178200640194958,-0.0326732300638655,-0.4127583732924324,39.296287321110256,-83.5562133679565,13.29418707133873,39.6821125360549,0.9953812517306161,-0.07535208508203473,0.006102307981310515,-0.05916915424680877,16,0.8746348490515883,
0.3,-6.3717536933522725,-5.699068791998789,9.8969152716723,0.015548676769528143,0.015733680566119713,-0.416325122229756,39.29630267845767,-83.5561996570843,13.169105785567531,38.93866027955531,0.9949966207810812,-0.07625345501823672,0.014094052495033468,-0.0629959753974667,15,0.9118211451651252,
0.32,4.079706147014986,-6.1770939153120725,9.647212919282385,0.0008231275365435731,0.004250849415189023,-0.42990157564951326,39.29630267845767,-83.5561996570843,13.24770047081527,38.93866027955531,0.9945742597080767,-0.07823188538954007,0.009804761726468925,-0.06786516545339341,15,0.9118211451651252,
0.34,-6.252863090116037,-6.008748113008809,9.596817768999683,-0.0037809049991866565,0.005580571779267319,-0.47426814026520325,39.29630267845767,-83.5561996570843,13.121156780804402,38.183570381796244,0.993900311093837,-0.08171545497058415,0.01862712274004347,-0.07167835325223088,15,0.9118211451651252,
0.36,6.446386497580341,-6.16941206745865,9.79770589590409,0.005238702720174344,0.021533592060161345,-0.46488935953891564,39.29630267845767,-83.5561996570843,13.247154438055071,37.41682175511992,0.9934165714591418,-0.08408770145655174,0.012449104280967693,-0.07679709510599489,15,0.9118211451651252,
0.38,-4.788651521863983,-6.293558129518659,9.993525752610921,0.009394359181477166,0.0004863681027898931,-0.46851498931438906,39.29630267845767,-83.5561996570843,13.15126861929461,37.41682175511992,0.9927310844008486,-0.08716446909226744,0.01863012227894109,-0.08087192303914913,15,0.9118211451651252,
0.4,-1.788689336468679,-6.502691227628505,9.689693746708498,-0.012011244012834219,0.03839326306500341,-0.48026145030882095,39.296306425250116,-83.55617013168374,13.118261378869901,36.6384075498591,0.9921413954149144,-0.08877060188515191,0.020851293957376678,-0.08567645700773006,14,0.9177157198330328,
0.42,-2.9332266483782408,-5.877772427890725,10.043087160571016,0.002632192347327581,0.026091600274460967,-0.46976252382461775,39.296306425250116,-83.55617013168374,13.055798169684024,35.848336285684354,0.9916368676265809,-0.08921047026763575,0.024382236401087727,-0.09001844981142128,14,0.9177157198330328,
0.44,6.396136244629318,-6.407112461389647,9.696066961528864,0.0011189993853909595,-0.00171918429900562,-0.5036371893322111,39.296306425250116,-83.55617013168374,13.184764542583878,35.848336285684354,0.9910248584413741,-0.09202391267911897,0.01675870006068249,-0.09550118019562036,14,0.9177157198330328,
0.46,-6.571574739721219,-6.281327597698613,9.88518456095037,0.007562146817849665,-0.0016906920964028208,-0.4956203093308786,39.296306425250116,-83.55617013168374,13.050787122963117,35.046633000087816,0.990442101174923,-0.09232241857278445,0.024094864443132438,-0.09960146965051275,14,0.9177157198330328,
0.48,-2.305030448197841,-6.729227380895584,9.909637232360556,-0.011804316302999815,-0.005335117757545332,-0.5083538899577965,39.296306425250116,-83.55617013168374,12.999135933756602,34.233340407400874,0.989914786160314,-0.09180723980505624,0.026611333393677522,-0.10455612748934012,14,0.9177157198330328,
0.5,-0.7680420358345437,-6.186738949675347,9.906477075314358,-0.011153524148263587,0.017713598691701752,-0.4906912713574297,39.2963106085573,-83.55621014048774,12.975146568570814,34.233340407400874,0.9891986713743203,-0.09374294586943209,0.02749231267462125,-0.1092813863144187,14,0.9308083685119044,
0.52,2.1659193056335764,-6.490483821597554,9.773136718538362,0.01707714955084811,0.0021568697434714732,-0.4982622183620349,39.2963106085573,-83.55621014048774,13.015515297604274,33.40852006091935,0.9888375813698722,-0.09193380287821167,0.02562466011497882,-0.11441936179215194,14,0.9308083685119044,
